Score,Date,Scent
1,"November 18, 2022",Pink Sands
5,"November 18, 2022",White Gardenia
5,"November 16, 2022",Pink Sands
5,"November 15, 2022",Pink Sands
5,"November 15, 2022",Pink Sands
5,"November 15, 2022",Fresh Cut Roses
1,"November 14, 2022",Pink Sands
5,"November 14, 2022",Lilac Blossoms
5,"November 13, 2022",Lavender Vanilla
5,"November 10, 2022",Pink Sands
5,"November 10, 2022",Pink Sands
5,"November 10, 2022",Pink Sands
1,"November 9, 2022",Fresh Cut Roses
5,"November 8, 2022",Lavender Vanilla
5,"November 8, 2022",Pink Sands
5,"November 7, 2022",Pink Sands
5,"November 6, 2022",Pink Sands
2,"November 5, 2022",Pink Sands
2,"November 2, 2022",Pink Sands
5,"October 30, 2022",Pink Sands
1,"October 30, 2022",Lavender Vanilla
3,"October 30, 2022",Fresh Cut Roses
1,"October 29, 2022",White Gardenia
4,"October 28, 2022",Lilac Blossoms
5,"October 26, 2022",Lilac Blossoms
5,"October 26, 2022",Pink Sands
5,"October 26, 2022",Lilac Blossoms
2,"October 25, 2022",Midnight Jasmine
1,"October 24, 2022",Pink Sands
1,"October 24, 2022",Fresh Cut Roses
1,"October 23, 2022",Pink Sands
5,"October 22, 2022",Pink Sands
5,"October 22, 2022",Sun & Sand
1,"October 21, 2022",Lilac Blossoms
5,"October 21, 2022",Fresh Cut Roses
5,"October 20, 2022",Pink Sands
5,"October 20, 2022",Pink Sands
5,"October 20, 2022",Lavender Vanilla
5,"October 19, 2022",Pink Sands
5,"October 19, 2022",Pink Sands
5,"October 19, 2022",Pink Sands
5,"October 18, 2022",Pink Sands
1,"October 18, 2022",Sun & Sand
5,"October 15, 2022",Pink Sands
5,"October 15, 2022","Lavender, Lilac Blossoms"
4,"October 14, 2022",Pink Sands
5,"October 13, 2022",Pink Sands
5,"October 13, 2022",Pink Sands
2,"October 12, 2022",Fresh Cut Roses
1,"October 7, 2022",Pink Sands
5,"October 6, 2022",Pink Sands
1,"October 6, 2022",Beach Walk
3,"October 5, 2022",Fresh Cut Roses
4,"October 2, 2022",Sakura Blossom Festival
2,"October 2, 2022",Pink Sands
5,"October 1, 2022",Pink Sands
5,"September 28, 2022",Pink Sands
1,"September 28, 2022",Pink Sands
3,"September 27, 2022",Pink Sands
4,"September 26, 2022",Lilac Blossoms
5,"September 25, 2022",Lilac Blossoms
3,"September 25, 2022",Pink Sands
5,"September 25, 2022",Pink Sands
1,"September 24, 2022",Pink Sands
5,"September 23, 2022","Lavender, Lilac Blossoms"
5,"September 23, 2022",White Gardenia
4,"September 22, 2022",Pink Sands
2,"September 22, 2022",Lilac Blossoms
2,"September 21, 2022",Pink Sands
2,"September 20, 2022",Lilac Blossoms
5,"September 19, 2022","Lavender, Lilac Blossoms"
5,"September 18, 2022",Fresh Cut Roses
5,"September 18, 2022",Lilac Blossoms
5,"September 18, 2022",Sun-Drenched Apricot Rose
5,"September 16, 2022",Pink Sands
5,"September 15, 2022",Pink Sands
1,"September 14, 2022",Midnight Jasmine
5,"September 14, 2022",Lilac Blossoms
5,"September 13, 2022",Midnight Jasmine
1,"September 13, 2022",Lilac Blossoms
5,"September 13, 2022",White Gardenia
5,"September 13, 2022",Pink Sands
5,"September 13, 2022",Midnight Jasmine
2,"September 13, 2022",Lilac Blossoms
1,"September 12, 2022",Lilac Blossoms
5,"September 12, 2022",Pink Sands
5,"September 10, 2022",Black Coconut
1,"September 10, 2022",White Gardenia
1,"September 10, 2022",Lilac Blossoms
1,"September 8, 2022",Lilac Blossoms
5,"September 8, 2022",Sun-Drenched Apricot Rose
4,"September 7, 2022",Lavender Vanilla
5,"September 6, 2022",Lavender Vanilla
5,"September 4, 2022",Fresh Cut Roses
5,"September 3, 2022",Pink Sands
5,"September 3, 2022",Pink Sands
1,"September 1, 2022",Pink Sands
5,"September 1, 2022",Lilac Blossoms
5,"September 1, 2022",Lilac Blossoms
5,"September 1, 2022",Sun-Drenched Apricot Rose
5,"August 31, 2022",Pink Sands
5,"August 31, 2022",Pink Sands
5,"August 31, 2022",Pink Sands
2,"August 29, 2022",Flowers in the Sun
2,"August 29, 2022",Beach Walk
1,"August 29, 2022",Lilac Blossoms
5,"August 29, 2022",Pink Sands
5,"August 28, 2022",White Gardenia
5,"August 28, 2022",Pink Sands
2,"August 28, 2022",Pink Sands
5,"August 27, 2022",Lilac Blossoms
1,"August 26, 2022",Lilac Blossoms
5,"August 26, 2022",White Gardenia
4,"August 24, 2022",Fresh Cut Roses
5,"August 24, 2022",Pink Sands
5,"August 23, 2022",Fresh Cut Roses
5,"August 23, 2022",Pink Sands
5,"August 23, 2022",Pink Sands
1,"August 22, 2022",White Gardenia
5,"August 21, 2022",Fresh Cut Roses
5,"August 20, 2022",Sun-Drenched Apricot Rose
3,"August 20, 2022",Pink Sands
1,"August 20, 2022","Lavender, Lilac Blossoms"
5,"August 18, 2022",Lilac Blossoms
5,"August 18, 2022",Lilac Blossoms
5,"August 17, 2022",Sun & Sand
5,"August 17, 2022",Lilac Blossoms
5,"August 16, 2022",Lilac Blossoms
5,"August 16, 2022","Lavender, Lilac Blossoms"
5,"August 16, 2022",Pink Sands
5,"August 15, 2022",Pink Sands
3,"August 14, 2022",White Gardenia
5,"August 14, 2022",Pink Sands
5,"August 14, 2022",Pink Sands
1,"August 13, 2022",Pink Sands
4,"August 13, 2022",Wild Orchid
5,"August 12, 2022",White Gardenia
5,"August 12, 2022",Pink Sands
5,"August 12, 2022",Beach Walk
4,"August 12, 2022",White Gardenia
3,"August 11, 2022",Pink Sands
3,"August 11, 2022",Wild Orchid
5,"August 10, 2022",Pink Sands
5,"August 10, 2022",Lilac Blossoms
5,"August 9, 2022",Pink Sands
3,"August 9, 2022",Pink Sands
1,"August 9, 2022",Lilac Blossoms
1,"August 9, 2022",Pink Sands
5,"August 8, 2022",Lilac Blossoms
1,"August 8, 2022",Fresh Cut Roses
1,"August 8, 2022",Beach Walk
5,"August 8, 2022",Lilac Blossoms
5,"August 8, 2022",Lilac Blossoms
5,"August 6, 2022",Lilac Blossoms
5,"August 6, 2022",Pink Sands
1,"August 6, 2022",Lavender Vanilla
4,"August 6, 2022",Pink Sands
5,"August 6, 2022",Pink Sands
1,"August 5, 2022","Lavender, Lilac Blossoms"
5,"August 4, 2022",Lilac Blossoms
1,"August 4, 2022",Pink Sands
5,"August 3, 2022",Pink Sands
5,"August 2, 2022",Lilac Blossoms
5,"August 1, 2022",Pink Sands
5,"August 1, 2022",Lilac Blossoms
1,"August 1, 2022",Lavender Vanilla
4,"August 1, 2022",Pink Sands
1,"July 31, 2022",Lilac Blossoms
5,"July 30, 2022",Pink Sands
5,"July 29, 2022",Pink Sands
5,"July 29, 2022",Pink Sands
5,"July 28, 2022",Pink Sands
5,"July 28, 2022",Pink Sands
3,"July 27, 2022",Midnight Jasmine
5,"July 27, 2022",Fresh Cut Roses
5,"July 27, 2022",White Gardenia
5,"July 25, 2022",Pink Sands
5,"July 24, 2022",Pink Sands
5,"July 24, 2022","Lavender, Lilac Blossoms"
5,"July 24, 2022",Midnight Jasmine
2,"July 24, 2022",Pink Sands
3,"July 23, 2022",Pink Sands
5,"July 22, 2022",Lilac Blossoms
1,"July 22, 2022",Pink Sands
2,"July 22, 2022",Sun-Drenched Apricot Rose
1,"July 22, 2022",Pink Sands
5,"July 21, 2022",Pink Sands
5,"July 20, 2022",White Gardenia
5,"July 20, 2022",Pink Sands
5,"July 19, 2022",Lilac Blossoms
5,"July 19, 2022",Midnight Jasmine
3,"July 19, 2022",Pink Sands
5,"July 19, 2022",Pink Sands
2,"July 19, 2022",Midnight Jasmine
1,"July 18, 2022",Pink Sands
5,"July 18, 2022",Pink Sands
5,"July 18, 2022",Pink Sands
5,"July 18, 2022",Lilac Blossoms
1,"July 17, 2022",Pink Sands
1,"July 17, 2022",Pink Sands
5,"July 17, 2022",Beach Walk
1,"July 16, 2022",Pink Sands
5,"July 16, 2022",Lilac Blossoms
5,"July 16, 2022",Pink Sands
5,"July 16, 2022",Pink Sands
5,"July 15, 2022",Fresh Cut Roses
5,"July 15, 2022",Fresh Cut Roses
5,"July 14, 2022",Lilac Blossoms
2,"July 13, 2022",Lilac Blossoms
4,"July 12, 2022",Fresh Cut Roses
1,"July 12, 2022",Pink Sands
4,"July 12, 2022",White Gardenia
1,"July 12, 2022",Pink Sands
1,"July 12, 2022",Beach Walk
5,"July 10, 2022",Pink Sands
5,"July 10, 2022",Pink Sands
5,"July 8, 2022",Lilac Blossoms
5,"July 7, 2022",Lilac Blossoms
1,"July 7, 2022",Lilac Blossoms
5,"July 7, 2022",Pink Sands
2,"July 6, 2022",Pink Sands
5,"July 6, 2022",Pink Sands
5,"July 5, 2022",Midnight Jasmine
5,"July 3, 2022",Pink Sands
5,"July 1, 2022",Lilac Blossoms
1,"July 1, 2022",Fresh Cut Roses
5,"June 30, 2022",Lilac Blossoms
5,"June 30, 2022",Lilac Blossoms
4,"June 30, 2022",Lilac Blossoms
5,"June 29, 2022",Pink Sands
5,"June 26, 2022",Pink Sands
5,"June 26, 2022",Lilac Blossoms
5,"June 26, 2022",Pink Sands
3,"June 26, 2022",Lilac Blossoms
5,"June 26, 2022",Fresh Cut Roses
5,"June 26, 2022",Pink Sands
5,"June 25, 2022",Sun & Sand
5,"June 25, 2022",Pink Sands
5,"June 23, 2022",Lilac Blossoms
5,"June 22, 2022",White Gardenia
1,"June 22, 2022",Lilac Blossoms
5,"June 22, 2022",Lilac Blossoms
1,"June 21, 2022",Pink Sands
5,"June 20, 2022",Pink Sands
5,"June 20, 2022",Lilac Blossoms
5,"June 20, 2022",White Gardenia
2,"June 20, 2022",Lilac Blossoms
5,"June 20, 2022",White Gardenia
4,"June 18, 2022",Lilac Blossoms
4,"June 18, 2022",Lilac Blossoms
5,"June 17, 2022",Lilac Blossoms
3,"June 17, 2022",Lilac Blossoms
5,"June 16, 2022",Pink Sands
5,"June 15, 2022",Lilac Blossoms
5,"June 14, 2022",Enchanted Moon
1,"June 12, 2022",Sun & Sand
5,"June 12, 2022",Lilac Blossoms
5,"June 12, 2022",Pink Sands
3,"June 11, 2022",Pink Sands
5,"June 10, 2022",Lilac Blossoms
5,"June 10, 2022",Pink Sands
5,"June 10, 2022",Sun & Sand
5,"June 10, 2022",Pink Sands
5,"June 9, 2022",Lilac Blossoms
5,"June 7, 2022",Pink Sands
5,"June 7, 2022",Pink Sands
3,"June 7, 2022",Lilac Blossoms
1,"June 5, 2022",Beach Walk
5,"June 5, 2022",Lilac Blossoms
1,"June 5, 2022",Lilac Blossoms
4,"June 5, 2022",Lilac Blossoms
5,"June 4, 2022",Lilac Blossoms
5,"June 4, 2022",Lilac Blossoms
5,"June 4, 2022",Pink Sands
5,"June 4, 2022",Pink Sands
2,"June 4, 2022",Lilac Blossoms
4,"June 4, 2022","Lavender, Lilac Blossoms"
5,"June 3, 2022",Pink Sands
5,"June 3, 2022",Pink Sands
3,"June 2, 2022",Pink Sands
4,"June 1, 2022",Pink Sands
2,"June 1, 2022",Pink Sands
5,"May 31, 2022",Pink Sands
5,"May 30, 2022",White Gardenia
5,"May 30, 2022",Pink Sands
3,"May 29, 2022",Fresh Cut Roses
3,"May 28, 2022",Lilac Blossoms
5,"May 28, 2022",Midnight Jasmine
5,"May 27, 2022",White Gardenia
4,"May 25, 2022",Pink Sands
5,"May 24, 2022",Pink Sands
3,"May 24, 2022",Lilac Blossoms
2,"May 24, 2022",Lilac Blossoms
5,"May 24, 2022",Lilac Blossoms
5,"May 23, 2022",Pink Sands
5,"May 23, 2022",Pink Sands
5,"May 23, 2022",Lilac Blossoms
5,"May 23, 2022",Pink Sands
4,"May 22, 2022",White Gardenia
5,"May 22, 2022",White Gardenia
3,"May 21, 2022",Lilac Blossoms
4,"May 21, 2022",Wild Orchid
5,"May 20, 2022",Pink Sands
5,"May 20, 2022",Lilac Blossoms
5,"May 20, 2022",Pink Sands
2,"May 19, 2022",Pink Sands
5,"May 19, 2022",Lilac Blossoms
5,"May 19, 2022",Lilac Blossoms
5,"May 18, 2022",Lilac Blossoms
5,"May 18, 2022",Pink Sands
3,"May 18, 2022",Pink Sands
5,"May 18, 2022",Lilac Blossoms
5,"May 17, 2022",Pink Sands
5,"May 17, 2022",Pink Sands
5,"May 17, 2022",Pink Sands
5,"May 17, 2022",Lilac Blossoms
1,"May 16, 2022",Pink Sands
3,"May 16, 2022",White Gardenia
5,"May 15, 2022",Lilac Blossoms
5,"May 14, 2022",Pink Sands
1,"May 14, 2022",Lilac Blossoms
5,"May 14, 2022",Pink Sands
5,"May 13, 2022",Lilac Blossoms
5,"May 13, 2022",White Gardenia
5,"May 13, 2022",Pink Sands
5,"May 13, 2022",Pink Sands
