iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million
USA,North America,United States,1/22/20,1,,,0.003,,
USA,North America,United States,1/23/20,1,0,,0.003,0,
USA,North America,United States,1/24/20,2,1,,0.006,0.003,
USA,North America,United States,1/25/20,2,0,,0.006,0,
USA,North America,United States,1/26/20,5,3,,0.015,0.009,
USA,North America,United States,1/27/20,5,0,,0.015,0,
USA,North America,United States,1/28/20,5,0,0.571,0.015,0,0.002
USA,North America,United States,1/29/20,6,1,0.714,0.018,0.003,0.002
USA,North America,United States,1/30/20,6,0,0.714,0.018,0,0.002
USA,North America,United States,1/31/20,8,2,0.857,0.024,0.006,0.003
USA,North America,United States,2/1/20,8,0,0.857,0.024,0,0.003
USA,North America,United States,2/2/20,8,0,0.429,0.024,0,0.001
USA,North America,United States,2/3/20,11,3,0.857,0.033,0.009,0.003
USA,North America,United States,2/4/20,11,0,0.857,0.033,0,0.003
USA,North America,United States,2/5/20,11,0,0.714,0.033,0,0.002
USA,North America,United States,2/6/20,12,1,0.857,0.035,0.003,0.003
USA,North America,United States,2/7/20,12,0,0.571,0.035,0,0.002
USA,North America,United States,2/8/20,12,0,0.571,0.035,0,0.002
USA,North America,United States,2/9/20,12,0,0.571,0.035,0,0.002
USA,North America,United States,2/10/20,12,0,0.143,0.035,0,0
USA,North America,United States,2/11/20,13,1,0.286,0.038,0.003,0.001
USA,North America,United States,2/12/20,13,0,0.286,0.038,0,0.001
USA,North America,United States,2/13/20,14,1,0.286,0.041,0.003,0.001
USA,North America,United States,2/14/20,14,0,0.286,0.041,0,0.001
USA,North America,United States,2/15/20,14,0,0.286,0.041,0,0.001
USA,North America,United States,2/16/20,14,0,0.286,0.041,0,0.001
USA,North America,United States,2/17/20,14,0,0.286,0.041,0,0.001
USA,North America,United States,2/18/20,14,0,0.143,0.041,0,0
USA,North America,United States,2/19/20,14,0,0.143,0.041,0,0
USA,North America,United States,2/20/20,14,0,0,0.041,0,0
USA,North America,United States,2/21/20,16,2,0.286,0.047,0.006,0.001
USA,North America,United States,2/22/20,16,0,0.286,0.047,0,0.001
USA,North America,United States,2/23/20,16,0,0.286,0.047,0,0.001
USA,North America,United States,2/24/20,16,0,0.286,0.047,0,0.001
USA,North America,United States,2/25/20,16,0,0.286,0.047,0,0.001
USA,North America,United States,2/26/20,16,0,0.286,0.047,0,0.001
USA,North America,United States,2/27/20,17,1,0.429,0.05,0.003,0.001
USA,North America,United States,2/28/20,17,0,0.143,0.05,0,0
USA,North America,United States,2/29/20,25,8,1.286,0.074,0.024,0.004
USA,North America,United States,3/1/20,32,7,2.286,0.095,0.021,0.007
USA,North America,United States,3/2/20,55,23,5.571,0.163,0.068,0.016
USA,North America,United States,3/3/20,74,19,8.286,0.219,0.056,0.024
USA,North America,United States,3/4/20,107,33,13,0.316,0.098,0.038
USA,North America,United States,3/5/20,184,77,23.857,0.544,0.228,0.071
USA,North America,United States,3/6/20,237,53,31.429,0.701,0.157,0.093
USA,North America,United States,3/7/20,403,166,54,1.191,0.491,0.16
USA,North America,United States,3/8/20,519,116,69.571,1.534,0.343,0.206
USA,North America,United States,3/9/20,594,75,77,1.756,0.222,0.228
USA,North America,United States,3/10/20,782,188,101.143,2.312,0.556,0.299
USA,North America,United States,3/11/20,1147,365,148.571,3.391,1.079,0.439
USA,North America,United States,3/12/20,1586,439,200.286,4.688,1.298,0.592
USA,North America,United States,3/13/20,2219,633,283.143,6.559,1.871,0.837
USA,North America,United States,3/14/20,2978,759,367.857,8.803,2.244,1.087
USA,North America,United States,3/15/20,3212,234,384.714,9.495,0.692,1.137
USA,North America,United States,3/16/20,4679,1467,583.571,13.831,4.337,1.725
USA,North America,United States,3/17/20,6512,1833,818.571,19.25,5.418,2.42
USA,North America,United States,3/18/20,9169,2657,1146,27.104,7.854,3.388
USA,North America,United States,3/19/20,13663,4494,1725.286,40.388,13.284,5.1
USA,North America,United States,3/20/20,20030,6367,2544.429,59.21,18.821,7.521
USA,North America,United States,3/21/20,26025,5995,3292.429,76.931,17.721,9.733
USA,North America,United States,3/22/20,34944,8919,4533.143,103.296,26.365,13.4
USA,North America,United States,3/23/20,46096,11152,5916.714,136.262,32.966,17.49
USA,North America,United States,3/24/20,56714,10618,7171.714,167.649,31.387,21.2
USA,North America,United States,3/25/20,68841,12127,8524.571,203.497,35.848,25.199
USA,North America,United States,3/26/20,86662,17821,10428.429,256.177,52.68,30.827
USA,North America,United States,3/27/20,105253,18591,12174.714,311.133,54.956,35.989
USA,North America,United States,3/28/20,127417,22164,14484.571,376.65,65.518,42.817
USA,North America,United States,3/29/20,143544,16127,15514.286,424.323,47.672,45.861
USA,North America,United States,3/30/20,165698,22154,17086,489.811,65.488,50.507
USA,North America,United States,3/31/20,192079,26381,19337.857,567.794,77.983,57.164
USA,North America,United States,4/1/20,227894,35815,22721.857,673.665,105.871,67.167
USA,North America,United States,4/2/20,260170,32276,24786.857,769.074,95.409,73.271
USA,North America,United States,4/3/20,292610,32440,26765.286,864.968,95.894,79.119
USA,North America,United States,4/4/20,324329,31719,28130.286,958.731,93.763,83.154
USA,North America,United States,4/5/20,353104,28775,29937.143,1043.791,85.06,88.496
USA,North America,United States,4/6/20,385095,31991,31342.429,1138.358,94.567,92.65
USA,North America,United States,4/7/20,415245,30150,31880.857,1227.483,89.125,94.241
USA,North America,United States,4/8/20,446489,31244,31227.857,1319.842,92.359,92.311
USA,North America,United States,4/9/20,482511,36022,31763,1426.324,106.483,93.893
USA,North America,United States,4/10/20,516700,34189,32012.857,1527.388,101.064,94.631
